No,date,tournament,type,player,round,url
1,"July 26, 2026",Chessmates 3X3 Grand Prix 4 - 2000 and Below,Team Swiss,126,7,https://s1.chess-results.com/tnr1464006.aspx
2,"May 31, 2026",Chessmates 3X3 Grand Prix 3 - 2000 and Below,Team Swiss,102,6,https://s2.chess-results.com/tnr1428138.aspx
3,"May 30, 2026",Chessmates Chess Grand Prix 3 - Road to Thailand2 1950 & Below,Individual Swiss,62,7,https://s2.chess-results.com/tnr1427390.aspx
4,"April 26, 2026",Chessmates 3X3 Grand Prix 2 - 2000 & BELOW,Team Swiss,114,7,https://s2.chess-results.com/tnr1402816.aspx
5,"April 18, 2026",Chessmates Chess Grand Prix 2 - Road to Thailand2 1950 & Below,Individual Swiss,80,7,https://s1.chess-results.com/tnr1394344.aspx
6,"March 7, 2026",3x3 Chessmates Team Tournament Grand Prix,Team Swiss,120,7,https://s3.chess-results.com/tnr1367525.aspx
7,"March 1, 2026",Chessmates Rapid Chess Grand Prix - 1950 & Below,Individual Swiss,84,7,https://s2.chess-results.com/tnr1363675.aspx
